Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Vehicle Size
4499.493252,No,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,704.768111,Medsize
4059.567414,No,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,518.4,Medsize
4458.113369,Yes,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,312,Medsize
8110.333139,No,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,504,Small
3339.764873,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,20,53,0,1,863.327324,Small
24261.01777,No,Basic,High School or Below,Employed,F,66525,Rural,Married,100,0,86,0,2,104.331355,Medsize
6613.973653,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,676.391482,Large
2930.693543,No,Basic,College,Employed,M,33663,Suburban,Married,73,29,71,0,1,350.4,Medsize
8672.194272,No,Basic,College,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,537.6,Medsize
11638.66926,No,Extended,High School or Below,Employed,F,61486,Urban,Married,97,5,65,0,2,465.258644,Small
6846.150323,Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,456,Large
11727.77648,No,Premium,College,Disabled,F,29879,Suburban,Married,102,17,0,0,2,500.254235,Medsize
22643.83478,No,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,17,12,0,2,281.451042,Medsize
2614.474305,No,Basic,Master,Employed,M,65186,Rural,Married,65,29,27,0,1,5.434505,Large
2451.752695,No,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,307.2,Medsize
6781.270203,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,30,3,1,5,982.399613,Medsize
4974.801539,Yes,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,467.803638,Medsize
8591.604933,No,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,27,38,0,2,350.4,Small
5592.161392,No,Basic,High School or Below,Employed,F,71811,Rural,Single,71,17,48,0,6,29.03416,Medsize
8009.472833,No,Basic,College,Employed,M,20961,Suburban,Married,67,20,33,0,2,321.6,Medsize
11318.08982,No,Extended,College,Employed,M,38923,Rural,Married,99,6,83,2,2,115.728852,Medsize
58166.55351,No,Basic,Bachelor,Employed,M,61321,Rural,Single,186,0,30,1,2,427.63121,Small
8025.229358,No,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,25.807685,Large
5780.182197,Yes,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,787.993313,Medsize
4118.539113,No,Basic,Doctor,Employed,M,34378,Suburban,Married,102,12,54,0,1,489.6,Medsize
2523.07015,No,Basic,Master,Employed,M,43072,Suburban,Married,63,35,15,0,1,302.4,Large
6554.216396,No,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,475.623251,Small
7703.397294,No,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,15,32,1,2,320.849072,Medsize
5926.729379,Yes,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,460.8,Medsize
2683.470677,No,Basic,Bachelor,Employed,F,48269,Urban,Married,69,3,79,3,1,282.151207,Medsize
2695.182419,No,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,321.6,Medsize
6047.02516,Yes,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,364.8,Medsize
13171.01282,No,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,679.827592,Small
10656.88195,Yes,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,7,3,0,2,631.743039,Medsize
2527.653796,No,Basic,Bachelor,Employed,F,80744,Rural,Married,63,24,84,0,1,11.879037,Medsize
2672.095756,No,Basic,Bachelor,Employed,M,52822,Suburban,Married,67,23,88,0,1,350.529033,Small
5313.294035,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,8,10,1,9,863.3947,Medsize
20946.19251,No,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,26,1,2,492.127532,Large
8375.353929,No,Basic,Master,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,132.588288,Medsize
4801.661503,No,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,297.6,Medsize
5745.94334,No,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30,87,3,9,269.905129,Medsize
6066.115969,No,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,380.036697,Small
8002.308333,Yes,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,513.6,Medsize
2393.915369,Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,425.266308,Medsize
4762.8179,No,Basic,Bachelor,Employed,M,65795,Rural,Single,62,2,85,1,3,49.011099,Medsize
4330.38602,Yes,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,513.6,Medsize
9402.729769,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,28,88,0,4,936,Medsize
6966.694527,No,Extended,Bachelor,Employed,F,41837,Rural,Married,88,29,93,0,9,142.062768,Small
7694.064293,No,Basic,Bachelor,Employed,F,32303,Rural,Married,65,13,34,0,2,45.152521,Medsize
8717.561149,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,5,89,1,3,561.6,Medsize
5928.748528,No,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,30.567357,Medsize
2452.977288,No,Basic,College,Employed,M,79898,Urban,Married,62,5,86,1,1,271.606799,Medsize
6701.571657,No,Extended,College,Employed,M,56398,Suburban,Married,85,4,18,0,7,408,Small
7556.24034,No,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,470.4,Small
8492.6988,No,Basic,College,Employed,M,27804,Suburban,Married,109,19,54,0,7,784.8,Medsize
7713.494046,No,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,16,32,2,2,316.8,Medsize
24084.5352,No,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,396.082036,Medsize
7290.069769,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,102,11,70,1,3,489.6,Medsize
4772.943848,Yes,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,638.4,Medsize
6806.491395,No,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,35,77,0,9,465.633954,Medsize
2469.781334,No,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,24,10,0,1,368.400146,Medsize
3103.923041,No,Extended,College,Employed,F,74665,Urban,Married,78,10,90,2,1,236.902001,Medsize
2981.875575,No,Extended,College,Unemployed,M,0,Suburban,Married,83,26,89,0,1,582.679087,Medsize
8902.737595,No,Basic,Bachelor,Employed,M,46833,Rural,Married,112,6,3,0,9,64.109663,Medsize
5499.447223,No,Basic,High School or Below,Employed,F,88768,Suburban,Married,68,17,77,0,7,326.4,Small
15023.59858,No,Basic,High School or Below,Employed,M,28262,Suburban,Single,192,9,77,0,3,921.6,Medsize
2509.107875,No,Basic,Bachelor,Employed,F,33555,Rural,Married,63,17,11,0,1,101.89645,Medsize
31221.7481,No,Premium,College,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,542.4,Medsize
3133.503432,No,Extended,Master,Employed,F,58850,Rural,Single,78,20,26,0,1,143.747794,Medsize
3837.451863,No,Extended,College,Employed,M,21880,Urban,Married,97,29,37,0,1,424.077159,Medsize
11790.49617,Yes,Basic,College,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,316.8,Medsize
7838.068321,No,Basic,Master,Unemployed,F,0,Rural,Married,69,9,12,0,2,2.704934,Medsize
4305.808345,No,Basic,High School or Below,Employed,M,24188,Suburban,Married,109,14,82,0,1,523.2,Medsize
5973.976904,No,Basic,Bachelor,Employed,F,41611,Rural,Married,74,14,8,0,8,113.801497,Medsize
5670.442396,No,Basic,Bachelor,Employed,F,28406,Urban,Married,72,16,35,1,4,192.87572,Medsize
4731.749346,No,Premium,College,Employed,M,69833,Suburban,Married,118,32,99,0,1,828.662719,Small
8026.379641,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,15,91,0,2,532.8,Small
4022.963529,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,117,6,1,0,1,975.107098,Medsize
9618.310865,No,Basic,High School or Below,Employed,F,80536,Rural,Married,119,5,83,0,3,53.798708,Medsize
2274.775451,No,Basic,College,Unemployed,F,0,Suburban,Single,63,2,5,0,1,606.642452,Small
9552.926922,No,Extended,College,Employed,F,97732,Urban,Married,79,0,70,0,2,289.9122,Medsize
10388.55323,No,Extended,Bachelor,Employed,F,61222,Urban,Single,89,20,55,0,2,392.604371,Small
2470.121222,No,Basic,College,Unemployed,M,0,Suburban,Single,74,7,20,0,1,721.242206,Large
5619.068508,No,Premium,Master,Employed,M,50335,Urban,Married,140,9,54,0,1,456.52385,Medsize
9047.119209,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,127,30,11,0,6,1087.995426,Medsize
6692.143668,No,Premium,High School or Below,Employed,M,63221,Suburban,Married,168,28,49,0,1,806.4,Medsize
3731.504584,Yes,Extended,High School or Below,Unemployed,F,0,Suburban,Married,96,31,34,0,1,460.8,Large
3660.770258,No,Extended,Bachelor,Employed,M,64495,Urban,Married,92,34,30,0,1,251.992083,Medsize
7928.829252,No,Basic,College,Unemployed,F,0,Suburban,Married,72,7,75,0,2,345.6,Medsize
5011.751577,No,Basic,Bachelor,Employed,F,28859,Suburban,Divorced,67,24,51,3,4,321.6,Medsize
7988.258292,No,Extended,High School or Below,Employed,F,77330,Rural,Married,99,0,21,0,3,99.257608,Medsize
3885.456401,Yes,Premium,College,Unemployed,M,0,Suburban,Married,105,3,92,0,1,504,Large
2659.337982,No,Basic,Bachelor,Employed,M,24495,Suburban,Single,70,29,65,0,1,336,Small
8564.768226,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,178.006524,Medsize
4885.162511,No,Extended,High School or Below,Disabled,M,26372,Suburban,Married,126,11,7,0,1,604.8,Medsize
9753.307106,No,Extended,Bachelor,Medical Leave,F,17514,Rural,Married,127,2,5,0,3,8.312729,Medsize
2946.153697,No,Basic,Bachelor,Employed,F,89270,Urban,Single,74,17,90,0,1,316.599228,Medsize
2581.110945,No,Basic,High School or Below,Employed,M,29757,Suburban,Married,65,13,55,0,1,312,Small
3517.385764,No,Extended,College,Employed,M,51814,Rural,Single,92,28,89,0,1,56.300724,Medsize
9743.350113,No,Extended,Bachelor,Employed,F,24028,Suburban,Married,82,14,27,0,2,393.6,Small
3873.647046,Yes,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,701.708239,Medsize
7649.28199,No,Basic,Bachelor,Employed,F,52705,Rural,Married,64,14,8,1,2,128.705563,Large
2287.59692,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,1,5,0,1,679.368378,Medsize
4475.424592,No,Basic,College,Employed,F,84903,Urban,Married,111,7,63,0,1,497.126827,Medsize
8714.922135,Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,566.4,Medsize
2248.449633,Yes,Basic,Bachelor,Retired,F,24910,Suburban,Single,63,7,63,1,1,347.857619,Medsize
7416.197322,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,77,15,12,2,2,554.4,Medsize
7771.158973,No,Basic,Master,Medical Leave,M,21876,Suburban,Married,68,12,28,0,2,465.41477,Small
6968.3419,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,33,61,1,2,496.8,Small
4250.282624,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,17,1,1,7,292.8,Small
19776.56654,No,Extended,High School or Below,Employed,F,70699,Urban,Divorced,82,1,57,0,2,256.813837,Medsize
21343.46599,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,11,85,1,2,355.2,Medsize
2413.139714,No,Basic,College,Medical Leave,M,27501,Suburban,Married,63,20,0,0,1,542.319401,Medsize
15363.84716,No,Premium,Doctor,Disabled,F,15897,Urban,Divorced,101,30,99,0,2,303.148399,Medsize
8456.961887,No,Basic,College,Employed,F,25141,Rural,Divorced,73,12,4,1,2,25.438063,Medsize
2189.642522,No,Basic,College,Unemployed,F,0,Suburban,Married,61,5,46,3,1,292.8,Small
5780.182197,Yes,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,787.993313,Medsize
4639.981638,No,Basic,Bachelor,Employed,F,28358,Rural,Married,117,24,37,0,1,84.024413,Medsize
4465.335703,No,Basic,College,Employed,F,61846,Rural,Married,112,1,48,0,1,215.8182,Medsize
5968.118877,No,Basic,Bachelor,Employed,F,90972,Urban,Married,74,3,47,0,8,232.926145,Medsize
5097.763337,No,Basic,College,Unemployed,F,0,Suburban,Single,74,3,95,0,7,532.8,Medsize
4076.634665,No,Basic,Bachelor,Employed,F,29549,Suburban,Divorced,104,17,51,0,1,710.433775,Small
12252.60179,No,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,12,17,1,2,552,Medsize
16936.27147,No,Extended,Bachelor,Employed,F,39411,Suburban,Married,217,4,29,2,4,1122.658899,Medsize
4892.435461,No,Basic,High School or Below,Employed,M,21709,Suburban,Married,62,28,17,0,3,408.374746,Large
9942.304791,No,Extended,Bachelor,Employed,M,67890,Suburban,Single,85,23,57,0,2,408,Small
3735.838129,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,110,3,16,0,1,792,Medsize
13117.52215,No,Basic,High School or Below,Employed,F,84311,Suburban,Single,111,11,98,4,2,532.8,Small
4574.524094,No,Basic,College,Employed,F,99316,Suburban,Single,114,26,53,0,1,754.358929,Medsize
5470.060561,Yes,Extended,Bachelor,Employed,F,54507,Suburban,Married,138,20,11,0,1,702.990032,Medsize
2978.84601,No,Extended,Bachelor,Employed,F,64586,Urban,Single,76,3,17,0,1,206.837111,Medsize
6410.967544,No,Extended,College,Employed,M,61709,Urban,Married,82,5,41,2,7,275.395894,Medsize
4479.023088,No,Basic,Master,Employed,M,94656,Urban,Married,111,12,79,1,1,459.738128,Medsize
2383.731879,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,69,5,40,0,1,496.8,Small
2764.493659,No,Basic,Bachelor,Employed,M,61085,Suburban,Married,70,27,34,1,1,336,Medsize
7920.105377,No,Basic,Bachelor,Employed,F,89284,Suburban,Married,67,7,31,3,2,321.6,Small
6889.097981,No,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,63,6,12,0,2,302.4,Small
3274.194616,No,Extended,Bachelor,Employed,F,31686,Suburban,Married,81,11,33,0,1,430.994107,Small
9951.707743,No,Premium,High School or Below,Employed,M,56855,Suburban,Single,255,12,1,0,1,1836,Medsize
2521.555686,No,Basic,Bachelor,Employed,M,53703,Rural,Single,67,3,45,2,1,67.632476,Medsize
23706.11337,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,96,12,35,1,2,844.481918,Medsize
6047.02516,Yes,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,364.8,Medsize
11140.30248,No,Premium,Master,Disabled,F,27679,Suburban,Single,150,30,28,0,3,722.486994,Medsize
4334.064096,Yes,Extended,Bachelor,Retired,F,23904,Suburban,Single,123,1,67,3,1,590.4,Medsize
2799.74791,No,Basic,High School or Below,Employed,F,65351,Suburban,Married,69,4,54,0,1,481.027516,Medsize
7923.136624,No,Basic,College,Unemployed,M,0,Suburban,Single,113,20,1,0,7,1124.427734,Medsize
3688.110888,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,63,0,54,3,7,669.682001,Medsize
12067.45599,No,Basic,College,Unemployed,M,0,Suburban,Single,116,14,35,0,2,1284.093173,Medsize
2924.976721,No,Basic,College,Employed,F,64459,Urban,Married,72,16,64,0,1,240.259479,Medsize
15014.0927,No,Premium,College,Employed,M,32961,Suburban,Married,190,13,53,0,3,912,Small
9277.233839,No,Basic,High School or Below,Employed,F,71416,Suburban,Divorced,116,10,0,0,3,556.8,Medsize
6274.123875,No,Extended,Bachelor,Employed,F,68964,Rural,Married,78,15,6,0,3,115.086827,Medsize
3886.647414,No,Extended,High School or Below,Employed,M,78108,Suburban,Single,98,12,34,0,1,470.4,Small
4386.277558,Yes,Basic,College,Retired,M,10621,Suburban,Single,67,28,22,0,5,321.6,Medsize
11365.26766,No,Extended,College,Employed,M,84910,Urban,Married,95,4,69,0,2,383.167471,Small
5610.96434,No,Basic,High School or Below,Employed,F,77493,Urban,Single,70,2,35,0,3,307.963291,Medsize
2912.892035,No,Basic,College,Employed,M,81097,Suburban,Divorced,74,7,67,0,1,355.2,Small
6915.729915,No,Extended,College,Employed,F,96610,Suburban,Married,85,6,23,0,3,520.364752,Large
6262.663307,No,Premium,College,Employed,M,30110,Urban,Married,159,20,71,0,1,466.436375,Small
6503.397049,Yes,Extended,High School or Below,Disabled,F,22081,Suburban,Married,84,1,9,0,6,451.670309,Small
8007.399376,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,537.6,Medsize
2929.916512,No,Basic,College,Employed,M,98473,Suburban,Married,72,19,69,0,1,345.6,Medsize
5969.55297,No,Basic,Bachelor,Employed,F,97431,Suburban,Married,74,1,72,0,3,355.2,Medsize
5473.15987,No,Basic,Bachelor,Employed,M,93870,Suburban,Divorced,69,1,96,0,8,331.2,Medsize
5645.396665,No,Basic,High School or Below,Employed,M,50366,Suburban,Divorced,72,9,5,0,9,428.734656,Small
6369.262355,Yes,Extended,High School or Below,Employed,M,34498,Suburban,Single,83,30,72,0,7,398.4,Small
11833.76732,No,Basic,College,Disabled,F,16552,Suburban,Married,103,23,53,0,2,494.4,Small
6121.107929,No,Extended,College,Employed,F,26787,Suburban,Married,77,7,50,0,5,369.6,Medsize
5159.369746,No,Basic,College,Unemployed,M,0,Suburban,Single,74,2,42,0,9,831.752839,Medsize
2514.59196,Yes,Basic,High School or Below,Employed,F,43860,Rural,Single,65,15,58,0,1,156.124914,Medsize
8668.611261,No,Basic,High School or Below,Employed,M,21474,Urban,Married,114,13,72,2,9,373.428187,Small
4960.965384,No,Basic,Bachelor,Disabled,M,18174,Suburban,Married,66,8,16,0,9,395.934815,Small
5504.139033,Yes,Basic,Bachelor,Unemployed,F,0,Suburban,Married,73,18,45,0,5,350.4,Medsize
7507.455372,Yes,Basic,College,Employed,M,60920,Urban,Single,64,10,61,0,2,231.201886,Medsize
32269.85139,No,Extended,High School or Below,Employed,M,41520,Urban,Married,90,18,70,0,2,289.904105,Medsize
5657.031588,No,Premium,Bachelor,Unemployed,F,0,Suburban,Married,152,12,89,0,1,729.6,Small
5061.757902,No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,68,19,16,0,8,326.4,Medsize
5912.783829,No,Basic,Bachelor,Employed,M,72208,Suburban,Married,73,3,84,0,8,350.4,Small
15182.27975,No,Basic,Bachelor,Employed,F,53863,Rural,Married,63,12,30,0,2,105.765111,Large
10747.03094,No,Extended,College,Employed,M,66446,Urban,Divorced,136,8,77,0,3,639.464548,Large
2050.623512,No,Basic,College,Unemployed,M,0,Suburban,Single,61,18,26,0,1,292.8,Small
2465.444865,No,Basic,Bachelor,Employed,F,64997,Suburban,Single,63,7,99,1,1,383.442328,Small
5343.121327,No,Basic,High School or Below,Employed,F,64460,Suburban,Married,66,18,42,0,3,316.8,Small
8119.829071,No,Basic,College,Employed,F,46618,Rural,Married,67,22,77,0,2,99.085943,Large
4605.265164,No,Basic,College,Unemployed,F,0,Suburban,Divorced,64,13,64,0,4,307.2,Small
6408.785577,No,Extended,College,Employed,M,49988,Suburban,Married,84,6,37,5,5,566.935022,Large
2376.533508,No,Extended,College,Unemployed,F,0,Suburban,Single,91,2,8,5,1,436.8,Medsize
3211.070017,No,Extended,Bachelor,Disabled,M,16269,Suburban,Divorced,86,6,84,0,1,412.8,Medsize
5094.522262,No,Basic,Bachelor,Employed,F,72006,Suburban,Divorced,64,4,38,0,3,307.2,Medsize
25755.27817,No,Extended,High School or Below,Unemployed,F,0,Suburban,Married,81,3,60,2,2,388.8,Small
8672.229719,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,245,34,83,0,1,2345.413441,Medsize
8044.73072,No,Basic,Master,Employed,M,44320,Suburban,Married,67,13,79,0,2,321.6,Medsize
4001.519098,No,Premium,High School or Below,Retired,F,19782,Suburban,Divorced,108,13,66,0,1,773.470977,Medsize
16706.11699,No,Basic,Bachelor,Employed,F,63933,Suburban,Divorced,70,35,98,0,2,424.883448,Medsize
8544.411077,No,Basic,Doctor,Employed,M,28224,Suburban,Single,109,13,13,0,8,523.2,Medsize
7805.31287,Yes,Basic,College,Retired,F,21073,Suburban,Divorced,106,25,54,1,3,508.8,Small
6112.756868,No,Extended,Bachelor,Employed,M,63243,Urban,Married,77,21,73,0,3,364.240307,Large
4772.943848,Yes,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,638.4,Medsize
10979.09559,No,Extended,Bachelor,Employed,F,94827,Urban,Married,135,5,64,0,4,354.729129,Medsize
5004.263818,No,Basic,Master,Employed,F,39161,Urban,Married,63,18,83,1,4,283.995953,Small
13223.04379,No,Extended,Bachelor,Employed,M,37534,Suburban,Married,84,2,0,2,2,403.2,Medsize
